type,what,when,with,where,why
Summer schools,"\href{https://www.rug.nl/research/fse/cognitive-systems-and-materials/news/seminars/agenda/2019/20190408_springschoolcognitivemodeling?lang=en}{Groningen Spring School on Cognitive Modeling}", 2019, University of Groningen, Groningen, "Error-driven learning: simulating the time course of learning (5 days, active participation)"
Summer schools,"\href{https://www.rug.nl/research/fse/cognitive-systems-and-materials/news/seminars/agenda/2019/20190408_springschoolcognitivemodeling?lang=en}{Groningen Spring School on Cognitive Modeling}", 2019, University of Groningen, Groningen, "Nengo: converting high-level cognitive theories into low-level spiking neuron implementations (5 days, auditing)"
Summer schools,Network modeling and analysis in human cognition research school,2018,Psychology Institute of Russain Academy of Sciences,Moscow,"Basics of graph theory: measures, statistics, application (4 days, last day - group project appying network analysis to the Remote Assocation Task (RAT) data)"
MOOCs,"\href{https://www.coursera.org/specializations/data-science-python}{Applied Data Science with Python specialization}",2017,Coursera,online,"Five courses covering basics of data manipulation, text mining, machine learning, social network analysis, plotting and data representation. \href{https://coursera.org/share/cb4c8abff922cf688a98cc30d55cff1a}{Certificate.}"
MOOCs,"\href{https://www.coursera.org/learn/designexperiments}{Designing, Running, and Analyzing Experiments}",2018,Coursera,online,"\href{https://coursera.org/share/13d8627b09f871715aec86dcd7dd0fbe}{Certificate.}"
MOOCs,"\href{https://www.coursera.org/learn/datasciencemathskills}{Data Science Math Skills}",2020,Coursera,online,"This course covered high-school maths. Honestly, this was an attempt at productive procrastination during the COVID-19 lockdown. \href{https://coursera.org/share/d06128df3dbf0ed99de987da0d257f09}{Certificate.}"
MOOCs,"\href{https://www.coursera.org/learn/discrete-calculus}{Single Variable Calculus (5 courses)}",2018,Coursera,online,"In addition to being a refresher of Calculus 101, this course taught me discrete approximation for differential equation solutions. Completed, no certificate."
MOOCs,Computing for Data Analysis,2013,Coursera,online,"'In this course students learn programming in R, reading data into R, creating data graphics, accessing and installing R packages, writing R functions, debugging, and organizing and commenting R code.' \href{https://www.coursera.org/api/legacyCertificates.v1/spark/statementOfAccomplishment/970940~3547767/pdf}{Certificate.}"
MOOCs,"\href{https://classroom.udacity.com/courses/cs101}{Intro to Computer Science}",2014,Udacity,online,"An introductory Python course. \href{https://confirm.udacity.com/QXWAQCFL}{Certificate.}"
MOOCs,"\href{https://classroom.udacity.com/courses/cs253}{Web Development}",2013,Udacity,online,"Basics, forms, templates, databases, user accounts, security, APIs, caching, scaling. \href{https://confirm.udacity.com/7H2KDEWK}{Certificate.}"
